HYPERPARAMETERS OF EACH ITERATION:
|   iter    |  target   | baggin... | baggin... | featur... | lambda_l1 | lambda_l2 | min_ch... | num_le... |
|  109      |  0.9994   |  0.9249   |  2.145    |  0.4752   |  2.59     |  5.554    |  31.1     |  41.54    |
|  110      |  0.9993   |  0.9837   |  5.048    |  0.6299   |  3.005    |  3.895    |  6.931    |  5.415    |
|  111      |  0.9994   |  0.6519   |  6.601    |  0.4646   |  0.2449   |  1.765    |  32.6     |  251.2    |
|  112      |  0.9994   |  0.5122   |  1.726    |  0.8878   |  7.087    |  9.554    |  85.89    |  195.0    |
|  113      |  0.9994   |  0.9784   |  1.153    |  0.9481   |  8.788    |  8.887    |  87.31    |  175.8    |
|  114      |  0.9994   |  0.4062   |  5.001    |  0.9936   |  3.381    |  4.996    |  73.12    |  26.18    |
|  115      |  0.9994   |  0.9249   |  5.15     |  0.4258   |  2.094    |  3.228    |  80.84    |  149.8    |
|  116      |  0.9994   |  0.4928   |  6.55     |  0.6706   |  4.66     |  0.5872   |  36.4     |  185.2    |
|  117      |  0.9995   |  0.9567   |  2.942    |  0.6861   |  0.3042   |  4.523    |  94.95    |  168.6    |
|  118      |  0.9994   |  0.6469   |  6.803    |  0.5573   |  1.31     |  0.02854  |  94.64    |  137.7    |
|  119      |  0.9995   |  0.8867   |  2.697    |  0.8107   |  4.242    |  6.817    |  59.54    |  248.9    |
|  120      |  0.9994   |  0.5403   |  2.925    |  0.6064   |  2.965    |  8.402    |  62.69    |  213.6    |
|  121      |  0.9994   |  0.636    |  3.664    |  0.8594   |  3.05     |  5.939    |  25.8     |  82.81    |
|  122      |  0.9994   |  0.49     |  3.792    |  0.9001   |  6.747    |  5.225    |  72.41    |  131.0    |
|  123      |  0.9995   |  0.8584   |  3.573    |  0.7115   |  2.045    |  5.483    |  24.08    |  139.0    |
|  124      |  0.9994   |  0.4743   |  3.279    |  0.595    |  0.4878   |  4.009    |  54.24    |  250.7    |
|  125      |  0.9995   |  0.8191   |  1.279    |  0.7726   |  0.9432   |  8.429    |  12.62    |  205.8    |
|  126      |  0.9993   |  0.8348   |  5.902    |  0.4109   |  8.653    |  4.946    |  43.21    |  23.87    |
|  127      |  0.9994   |  0.6732   |  4.325    |  0.5484   |  9.155    |  1.589    |  78.92    |  73.85    |
|  128      |  0.9994   |  0.8051   |  4.651    |  0.8043   |  7.319    |  0.06008  |  17.91    |  205.1    |
|  129      |  0.9995   |  0.8452   |  1.926    |  0.8418   |  4.268    |  4.785    |  21.77    |  179.5    |
|  130      |  0.9994   |  0.8965   |  4.421    |  0.5547   |  1.047    |  9.75     |  87.89    |  156.0    |
|  131      |  0.9994   |  0.5806   |  3.412    |  0.9697   |  4.304    |  0.5934   |  10.47    |  18.26    |
|  132      |  0.9994   |  0.8826   |  6.955    |  0.5786   |  0.3042   |  6.375    |  13.93    |  170.5    |
|  133      |  0.9994   |  0.8989   |  6.432    |  0.817    |  9.643    |  2.422    |  43.23    |  216.0    |
|  134      |  0.9993   |  0.6467   |  5.552    |  0.4728   |  9.105    |  5.987    |  21.48    |  18.76    |
|  135      |  0.9994   |  0.8609   |  4.165    |  0.8356   |  6.186    |  6.814    |  57.63    |  164.2    |
|  136      |  0.9994   |  0.5409   |  4.621    |  0.6563   |  4.291    |  6.139    |  93.13    |  20.62    |
|  137      |  0.9995   |  0.8248   |  4.493    |  0.9405   |  4.149    |  9.959    |  9.706    |  81.86    |
|  138      |  0.9994   |  0.568    |  6.518    |  0.7097   |  5.366    |  9.083    |  23.94    |  74.58    |
|  139      |  0.9995   |  0.7733   |  5.275    |  0.7137   |  1.538    |  2.636    |  83.32    |  36.0     |
